country (income_per_person_gdpperc.csv),Region,Year 1,Income,Life Expectancy,Population
United Kingdom,EUROPE WEST,1800,3280,38.6,10800000
Switzerland,EUROPE WEST,1800,2700,38,1750000
Sweden,EUROPE WEST,1800,1450,32.2,2500000
Spain,EUROPE WEST,1800,1600,29.5,11500000
Portugal,EUROPE WEST,1800,1730,35.6,2750000
Poland,EUROPE WEST,1800,1100,35.9,9000000
Norway,EUROPE WEST,1800,2530,37.9,900000
Netherlands,EUROPE WEST,1800,3330,39.9,2000000
Malta,EUROPE WEST,1800,781,28.7,134000
Luxembourg,EUROPE WEST,1800,1450,36.9,127000
Italy,EUROPE WEST,1800,2780,29.7,19000000
Ireland,EUROPE WEST,1800,1460,38.3,5250000
Iceland,EUROPE WEST,1800,926,42.9,61400
Greece,EUROPE WEST,1800,1370,36.6,2250000
Germany,EUROPE WEST,1800,1990,38.4,18000000
France,EUROPE WEST,1800,1850,34,29000000
Denmark,EUROPE WEST,1800,2010,37.4,1000000
Cyprus,EUROPE WEST,1800,853,38.5,184000
Belgium,EUROPE WEST,1800,2390,40,3250000
Austria,EUROPE WEST,1800,1850,34.4,3000000
Andorra,EUROPE WEST,1800,1200,,2650
Ukraine,EUROPE EAST,1800,763,36.6,11200000
Turkey,EUROPE EAST,1800,1190,35,9760000
Slovenia,EUROPE EAST,1800,1410,36.6,470000
Slovak Republic,EUROPE EAST,1800,1430,36.4,2140000
Serbia,EUROPE EAST,1800,1360,35.5,2150000
Russia,EUROPE EAST,1800,1430,29.6,31300000
Romania,EUROPE EAST,1800,377,35.7,5500000
Montenegro,EUROPE EAST,1800,1060,35.4,127000
Moldova,EUROPE EAST,1800,621,33.1,713000
Lithuania,EUROPE EAST,1800,1270,28.9,779000
Latvia,EUROPE EAST,1800,751,33,591000
Hungary,EUROPE EAST,1800,1250,36,3250000
Georgia,EUROPE EAST,1800,543,31.9,1070000
Finland,EUROPE EAST,1800,1230,36.6,800000
Estonia,EUROPE EAST,1800,938,36.1,334000
Czech Republic,EUROPE EAST,1800,1920,35,5520000
Croatia,EUROPE EAST,1800,1080,36.1,1230000
Bulgaria,EUROPE EAST,1800,1090,35.8,2250000
Bosnia and Herzegovina,EUROPE EAST,1800,669,35.1,852000
Belarus,EUROPE EAST,1800,608,36.2,2360000
Azerbaijan,EUROPE EAST,1800,775,29.2,880000
Armenia,EUROPE EAST,1800,514,34,413000
Albania,EUROPE EAST,1800,667,35.4,400000
Vietnam,EAST ASIA PACIFIC,1800,778,32,4000000
Vanuatu,EAST ASIA PACIFIC,1800,585,24.3,27800
Tonga,EAST ASIA PACIFIC,1800,663,28.2,18700
Timor-Leste,EAST ASIA PACIFIC,1800,521,28.9,137000
Thailand,EAST ASIA PACIFIC,1800,795,30.4,3000000
South Korea,EAST ASIA PACIFIC,1800,462,25.8,9400000
Solomon Islands,EAST ASIA PACIFIC,1800,363,25.1,57000
Singapore,EAST ASIA PACIFIC,1800,1020,29.1,30000
Samoa,EAST ASIA PACIFIC,1800,1400,25.4,47300
Philippines,EAST ASIA PACIFIC,1800,1090,30.9,2500000
Papua New Guinea,EAST ASIA PACIFIC,1800,546,31.5,755000
North Korea,EAST ASIA PACIFIC,1800,250,26,4350000
New Zealand,EAST ASIA PACIFIC,1800,658,34,200000
Myanmar,EAST ASIA PACIFIC,1800,594,30.8,6000000
Mongolia,EAST ASIA PACIFIC,1800,592,31.8,600000
"Micronesia, Fed. Sts.",EAST ASIA PACIFIC,1800,518,26.7,16400
Marshall Islands,EAST ASIA PACIFIC,1800,539,,5830
Malaysia,EAST ASIA PACIFIC,1800,1120,30.6,287000
Lao,EAST ASIA PACIFIC,1800,864,31.9,470000
Kiribati,EAST ASIA PACIFIC,1800,551,24.9,17900
Japan,EAST ASIA PACIFIC,1800,1010,36.4,28000000
Indonesia,EAST ASIA PACIFIC,1800,990,30,16100000
Fiji,EAST ASIA PACIFIC,1800,785,26.1,131000
China,EAST ASIA PACIFIC,1800,736,32,330000000
Cambodia,EAST ASIA PACIFIC,1800,384,35,2090000
Brunei,EAST ASIA PACIFIC,1800,1510,29.2,2260
Australia,EAST ASIA PACIFIC,1800,817,34,200000
Yemen,ASIA WEST,1800,877,23.4,2590000
Uzbekistan,ASIA WEST,1800,502,26.9,1920000
United Arab Emirates,ASIA WEST,1800,998,30.7,40200
Turkmenistan,ASIA WEST,1800,943,24,367000
Tajikistan,ASIA WEST,1800,556,24.2,467000
Syria,ASIA WEST,1800,502,31.1,1250000
Sri Lanka,ASIA WEST,1800,799,32.6,1750000
Saudi Arabia,ASIA WEST,1800,2370,32.1,2000000
Qatar,ASIA WEST,1800,1100,30.8,14100
Palestine,ASIA WEST,1800,675,32.1,166000
Pakistan,ASIA WEST,1800,1020,25.8,13100000
Oman,ASIA WEST,1800,915,32.3,300000
Nepal,ASIA WEST,1800,621,32.8,4000000
Maldives,ASIA WEST,1800,842,32.6,42400
Lebanon,ASIA WEST,1800,2150,29.7,300000
Kyrgyz Republic,ASIA WEST,1800,508,23.9,530000
Kuwait,ASIA WEST,1800,1100,26,81300
Kazakhstan,ASIA WEST,1800,1140,26.2,2040000
Jordan,ASIA WEST,1800,1130,31.7,200000
Israel,ASIA WEST,1800,879,32,210000
Iraq,ASIA WEST,1800,3840,31.2,1000000
Iran,ASIA WEST,1800,1530,25.6,6000000
India,ASIA WEST,1800,863,25.4,201000000
Bhutan,ASIA WEST,1800,629,28.8,392000
Bangladesh,ASIA WEST,1800,876,25.5,19200000
Bahrain,ASIA WEST,1800,1240,30.3,64500
Afghanistan,ASIA WEST,1800,603,28.2,3280000
Venezuela,AMERICA SOUTH,1800,1210,32.2,1000000
Uruguay,AMERICA SOUTH,1800,1810,32.9,55000
Suriname,AMERICA SOUTH,1800,1640,32.9,80700
Peru,AMERICA SOUTH,1800,1120,35.7,1270000
Paraguay,AMERICA SOUTH,1800,835,35.5,300000
Guyana,AMERICA SOUTH,1800,1210,31.1,166000
Ecuador,AMERICA SOUTH,1800,529,32.9,500000
Colombia,AMERICA SOUTH,1800,937,32,1210000
Chile,AMERICA SOUTH,1800,744,32,771000
Brazil,AMERICA SOUTH,1800,1120,32,2500000
Bolivia,AMERICA SOUTH,1800,854,33,887000
Argentina,AMERICA SOUTH,1800,1640,33.2,534000
United States,AMERICA NORTH,1800,1980,39.4,6000000
Trinidad and Tobago,AMERICA NORTH,1800,1230,32.9,20000
St. Vincent and the Grenadines,AMERICA NORTH,1800,838,26,25800
St. Lucia,AMERICA NORTH,1800,874,28,24000
Panama,AMERICA NORTH,1800,847,32.9,75600
Nicaragua,AMERICA NORTH,1800,973,25.4,186000
Mexico,AMERICA NORTH,1800,1560,26.9,5100000
Jamaica,AMERICA NORTH,1800,1360,34.2,300000
Honduras,AMERICA NORTH,1800,675,33.9,130000
Haiti,AMERICA NORTH,1800,633,29,500000
Guatemala,AMERICA NORTH,1800,857,25.8,463000
Grenada,AMERICA NORTH,1800,959,31.4,29400
El Salvador,AMERICA NORTH,1800,974,28.7,248000
Dominican Republic,AMERICA NORTH,1800,667,29.9,150000
Dominica,AMERICA NORTH,1800,663,,20000
Cuba,AMERICA NORTH,1800,902,32.2,272000
Costa Rica,AMERICA NORTH,1800,775,30.2,53000
Canada,AMERICA NORTH,1800,1310,39,500000
Belize,AMERICA NORTH,1800,579,26.5,25500
Barbados,AMERICA NORTH,1800,913,32.1,81700
Bahamas,AMERICA NORTH,1800,1450,35.2,27400
Antigua and Barbuda,AMERICA NORTH,1800,757,33.5,37000
Zimbabwe,AFRICA SUB SAHARAN,1800,869,33.7,1090000
Zambia,AFRICA SUB SAHARAN,1800,663,32.6,747000
Uganda,AFRICA SUB SAHARAN,1800,464,25.3,2500000
Togo,AFRICA SUB SAHARAN,1800,682,31.3,446000
Tanzania,AFRICA SUB SAHARAN,1800,562,32.2,3000000
Sudan,AFRICA SUB SAHARAN,1800,518,31.4,3990000
South Sudan,AFRICA SUB SAHARAN,1800,507,26.7,1030000
South Africa,AFRICA SUB SAHARAN,1800,2280,33.5,1450000
Somalia,AFRICA SUB SAHARAN,1800,694,29.4,989000
Sierra Leone,AFRICA SUB SAHARAN,1800,734,25.1,794000
Seychelles,AFRICA SUB SAHARAN,1800,792,37,12500
Senegal,AFRICA SUB SAHARAN,1800,497,25.2,1010000
Sao Tome and Principe,AFRICA SUB SAHARAN,1800,850,31,22700
Rwanda,AFRICA SUB SAHARAN,1800,431,31.8,928000
Nigeria,AFRICA SUB SAHARAN,1800,851,30.4,12100000
Niger,AFRICA SUB SAHARAN,1800,446,30.8,853000
Namibia,AFRICA SUB SAHARAN,1800,540,32.4,229000
Mozambique,AFRICA SUB SAHARAN,1800,390,30.3,2000000
Mauritius,AFRICA SUB SAHARAN,1800,940,28.7,59000
Mauritania,AFRICA SUB SAHARAN,1800,527,32,383000
Mali,AFRICA SUB SAHARAN,1800,603,26.4,1400000
Malawi,AFRICA SUB SAHARAN,1800,350,30.3,737000
Madagascar,AFRICA SUB SAHARAN,1800,573,30.5,1500000
Liberia,AFRICA SUB SAHARAN,1800,797,31.1,314000
Lesotho,AFRICA SUB SAHARAN,1800,351,32.8,276000
Kenya,AFRICA SUB SAHARAN,1800,854,25.5,2570000
Guinea-Bissau,AFRICA SUB SAHARAN,1800,567,32,218000
Guinea,AFRICA SUB SAHARAN,1800,450,29.5,984000
Ghana,AFRICA SUB SAHARAN,1800,696,28,2020000
Gambia,AFRICA SUB SAHARAN,1800,813,28.8,103000
Gabon,AFRICA SUB SAHARAN,1800,390,30.6,158000
Ethiopia,AFRICA SUB SAHARAN,1800,523,29.7,12000000
Eritrea,AFRICA SUB SAHARAN,1800,532,30.2,205000
Equatorial Guinea,AFRICA SUB SAHARAN,1800,356,29.8,80400
Cote d'Ivoire,AFRICA SUB SAHARAN,1800,812,31.2,1090000
"Congo, Rep.",AFRICA SUB SAHARAN,1800,575,32.7,314000
"Congo, Dem. Rep.",AFRICA SUB SAHARAN,1800,485,31.6,5160000
Comoros,AFRICA SUB SAHARAN,1800,696,32.1,56300
Chad,AFRICA SUB SAHARAN,1800,418,30.9,1430000
Central African Republic,AFRICA SUB SAHARAN,1800,424,30,479000
Cape Verde,AFRICA SUB SAHARAN,1800,529,33.8,55700
Cameroon,AFRICA SUB SAHARAN,1800,626,28.8,1860000
Burundi,AFRICA SUB SAHARAN,1800,418,31.5,899000
Burkina Faso,AFRICA SUB SAHARAN,1800,480,29.2,1670000
Botswana,AFRICA SUB SAHARAN,1800,397,33.6,121000
Benin,AFRICA SUB SAHARAN,1800,597,31,637000
Angola,AFRICA SUB SAHARAN,1800,618,27,1570000
Tunisia,AFRICA NORTH,1800,715,28.8,800000
Morocco,AFRICA NORTH,1800,714,33.1,2500000
Libya,AFRICA NORTH,1800,1050,33.1,230000
Egypt,AFRICA NORTH,1800,1590,33,3500000
Djibouti,AFRICA NORTH,1800,752,29.9,22800
Algeria,AFRICA NORTH,1800,715,28.8,2500000
North Macedonia,,1800,690,36.1,392000
Eswatini,,1800,490,32.3,86000
United Kingdom,EUROPE WEST,1801,3290,37.4,10900000
Switzerland,EUROPE WEST,1801,2700,38,1760000
Sweden,EUROPE WEST,1801,1440,36.9,2490000
Spain,EUROPE WEST,1801,1610,29.5,11500000
Portugal,EUROPE WEST,1801,1780,35.6,2780000
Poland,EUROPE WEST,1801,1080,35.9,9070000
Norway,EUROPE WEST,1801,2540,35.8,898000
Netherlands,EUROPE WEST,1801,3330,39.9,2000000
Malta,EUROPE WEST,1801,782,28.7,134000
Luxembourg,EUROPE WEST,1801,1450,36.9,127000
Italy,EUROPE WEST,1801,2740,29.7,19100000
Ireland,EUROPE WEST,1801,1470,38.3,5330000
Iceland,EUROPE WEST,1801,926,33.9,61400
Greece,EUROPE WEST,1801,1370,36.6,2250000
Germany,EUROPE WEST,1801,2010,38.4,18300000
France,EUROPE WEST,1801,1850,36.4,29100000
Denmark,EUROPE WEST,1801,2020,38.5,1010000
Cyprus,EUROPE WEST,1801,854,38.5,184000
Belgium,EUROPE WEST,1801,2390,40,3260000
Austria,EUROPE WEST,1801,1850,34.4,3020000
Andorra,EUROPE WEST,1801,1200,,2650
Ukraine,EUROPE EAST,1801,764,36.6,11200000
Turkey,EUROPE EAST,1801,1190,35,9780000
Slovenia,EUROPE EAST,1801,1410,36.6,470000
Slovak Republic,EUROPE EAST,1801,1430,36.4,2140000
Serbia,EUROPE EAST,1801,1360,35.5,2150000
Russia,EUROPE EAST,1801,1430,29.6,31300000
Romania,EUROPE EAST,1801,377,35.7,5540000
Montenegro,EUROPE EAST,1801,1060,35.4,127000
Moldova,EUROPE EAST,1801,621,33.1,713000
Lithuania,EUROPE EAST,1801,1270,28.9,779000
Latvia,EUROPE EAST,1801,752,33,591000
Hungary,EUROPE EAST,1801,1250,36,3290000
Georgia,EUROPE EAST,1801,543,31.9,1070000
Finland,EUROPE EAST,1801,1240,40.3,815000
Estonia,EUROPE EAST,1801,939,35.7,334000
Czech Republic,EUROPE EAST,1801,1920,35,5520000
Croatia,EUROPE EAST,1801,1090,36.1,1230000
Bulgaria,EUROPE EAST,1801,1090,35.8,2250000
Bosnia and Herzegovina,EUROPE EAST,1801,669,35.1,852000
Belarus,EUROPE EAST,1801,608,36.2,2360000
Azerbaijan,EUROPE EAST,1801,775,29.2,880000
Armenia,EUROPE EAST,1801,514,34,413000
Albania,EUROPE EAST,1801,667,35.4,402000
Vietnam,EAST ASIA PACIFIC,1801,778,32,4100000
Vanuatu,EAST ASIA PACIFIC,1801,586,24.3,27800
Tonga,EAST ASIA PACIFIC,1801,663,28.2,18700
Timor-Leste,EAST ASIA PACIFIC,1801,522,28.9,137000
Thailand,EAST ASIA PACIFIC,1801,795,30.4,3070000
South Korea,EAST ASIA PACIFIC,1801,462,25.8,9400000
Solomon Islands,EAST ASIA PACIFIC,1801,363,25.1,57000
Singapore,EAST ASIA PACIFIC,1801,1020,29.1,30000
Samoa,EAST ASIA PACIFIC,1801,1400,25.4,47300
Philippines,EAST ASIA PACIFIC,1801,1090,30.9,2440000
Papua New Guinea,EAST ASIA PACIFIC,1801,546,31.5,755000
North Korea,EAST ASIA PACIFIC,1801,250,26,4350000
New Zealand,EAST ASIA PACIFIC,1801,658,34,193000
Myanmar,EAST ASIA PACIFIC,1801,594,30.8,5840000
Mongolia,EAST ASIA PACIFIC,1801,592,31.8,601000
"Micronesia, Fed. Sts.",EAST ASIA PACIFIC,1801,518,26.7,16400
Marshall Islands,EAST ASIA PACIFIC,1801,539,,5830
Malaysia,EAST ASIA PACIFIC,1801,1120,30.6,287000
Lao,EAST ASIA PACIFIC,1801,865,31.9,470000
Kiribati,EAST ASIA PACIFIC,1801,551,24.9,17900
Japan,EAST ASIA PACIFIC,1801,1010,36.4,28100000
Indonesia,EAST ASIA PACIFIC,1801,986,30,16200000
Fiji,EAST ASIA PACIFIC,1801,785,26.1,131000
China,EAST ASIA PACIFIC,1801,735,32,332000000
Cambodia,EAST ASIA PACIFIC,1801,385,35,2090000
Brunei,EAST ASIA PACIFIC,1801,1510,29.2,2260
Australia,EAST ASIA PACIFIC,1801,822,34,205000
Yemen,ASIA WEST,1801,879,23.4,2590000
Uzbekistan,ASIA WEST,1801,502,26.9,1920000
United Arab Emirates,ASIA WEST,1801,1000,30.7,40200
Turkmenistan,ASIA WEST,1801,944,24,367000
Tajikistan,ASIA WEST,1801,557,24.2,467000
Syria,ASIA WEST,1801,503,31.1,1250000
Sri Lanka,ASIA WEST,1801,799,32.6,1720000
Saudi Arabia,ASIA WEST,1801,2370,32.1,2000000
Qatar,ASIA WEST,1801,1100,30.8,14100
Palestine,ASIA WEST,1801,675,32.1,166000
Pakistan,ASIA WEST,1801,1020,25.8,13100000
Oman,ASIA WEST,1801,916,32.3,301000
Nepal,ASIA WEST,1801,621,32.8,3990000
Maldives,ASIA WEST,1801,843,32.6,42400
Lebanon,ASIA WEST,1801,2150,29.7,302000
Kyrgyz Republic,ASIA WEST,1801,508,23.9,530000
Kuwait,ASIA WEST,1801,1100,26,81300
Kazakhstan,ASIA WEST,1801,1140,26.2,2040000
Jordan,ASIA WEST,1801,1130,31.7,201000
Israel,ASIA WEST,1801,880,32,210000
Iraq,ASIA WEST,1801,3840,31.2,1000000
Iran,ASIA WEST,1801,1530,25.6,6030000
India,ASIA WEST,1801,862,25.4,201000000
Bhutan,ASIA WEST,1801,629,28.8,392000
Bangladesh,ASIA WEST,1801,876,25.5,19200000
Bahrain,ASIA WEST,1801,1240,30.3,64500
Afghanistan,ASIA WEST,1801,603,28.2,3280000
Venezuela,AMERICA SOUTH,1801,1200,32.2,978000
Uruguay,AMERICA SOUTH,1801,1810,32.9,55000
Suriname,AMERICA SOUTH,1801,1640,32.9,80700
Peru,AMERICA SOUTH,1801,1060,35.7,1270000
Paraguay,AMERICA SOUTH,1801,835,35.5,289000
Guyana,AMERICA SOUTH,1801,1210,31.1,166000
Ecuador,AMERICA SOUTH,1801,529,32.9,500000
Colombia,AMERICA SOUTH,1801,932,32,1210000
Chile,AMERICA SOUTH,1801,744,32,771000
Brazil,AMERICA SOUTH,1801,1120,32,2570000
Bolivia,AMERICA SOUTH,1801,854,33,897000
Argentina,AMERICA SOUTH,1801,1640,33.2,520000
United States,AMERICA NORTH,1801,2020,39.4,6110000
Trinidad and Tobago,AMERICA NORTH,1801,1230,32.9,21100
St. Vincent and the Grenadines,AMERICA NORTH,1801,838,26,25800
St. Lucia,AMERICA NORTH,1801,875,28,24000
Panama,AMERICA NORTH,1801,847,32.9,76200
Nicaragua,AMERICA NORTH,1801,973,25.4,186000
Mexico,AMERICA NORTH,1801,1550,26.9,5170000
Jamaica,AMERICA NORTH,1801,1360,34.2,304000
Honduras,AMERICA NORTH,1801,675,33.9,130000
Haiti,AMERICA NORTH,1801,633,29,509000
Guatemala,AMERICA NORTH,1801,857,25.8,469000
Grenada,AMERICA NORTH,1801,959,31.4,29400
El Salvador,AMERICA NORTH,1801,975,28.7,238000
Dominican Republic,AMERICA NORTH,1801,667,29.9,146000
Dominica,AMERICA NORTH,1801,663,,20000
Cuba,AMERICA NORTH,1801,909,32.3,293000
Costa Rica,AMERICA NORTH,1801,775,30.2,53500
Canada,AMERICA NORTH,1801,1320,39,512000
Belize,AMERICA NORTH,1801,579,26.5,25500
Barbados,AMERICA NORTH,1801,914,32.1,81700
Bahamas,AMERICA NORTH,1801,1450,35.2,27400
Antigua and Barbuda,AMERICA NORTH,1801,757,33.5,37000
Zimbabwe,AFRICA SUB SAHARAN,1801,870,33.7,1090000
Zambia,AFRICA SUB SAHARAN,1801,665,32.6,758000
Uganda,AFRICA SUB SAHARAN,1801,464,25.3,2480000
Togo,AFRICA SUB SAHARAN,1801,683,31.3,446000
Tanzania,AFRICA SUB SAHARAN,1801,562,32.2,3000000
Sudan,AFRICA SUB SAHARAN,1801,518,31.4,4000000
South Sudan,AFRICA SUB SAHARAN,1801,507,26.7,1030000
South Africa,AFRICA SUB SAHARAN,1801,2250,33.5,1450000
Somalia,AFRICA SUB SAHARAN,1801,694,29.4,989000
Sierra Leone,AFRICA SUB SAHARAN,1801,734,25.1,794000
Seychelles,AFRICA SUB SAHARAN,1801,795,37,12500
Senegal,AFRICA SUB SAHARAN,1801,497,25.2,1010000
Sao Tome and Principe,AFRICA SUB SAHARAN,1801,852,31,22700
Rwanda,AFRICA SUB SAHARAN,1801,432,25,928000
Nigeria,AFRICA SUB SAHARAN,1801,853,30.4,12100000
Niger,AFRICA SUB SAHARAN,1801,446,30.8,853000
Namibia,AFRICA SUB SAHARAN,1801,540,32.4,226000
Mozambique,AFRICA SUB SAHARAN,1801,391,30.3,2000000
Mauritius,AFRICA SUB SAHARAN,1801,940,28.7,60700
Mauritania,AFRICA SUB SAHARAN,1801,528,32,383000
Mali,AFRICA SUB SAHARAN,1801,603,26.4,1400000
Malawi,AFRICA SUB SAHARAN,1801,350,30.3,753000
Madagascar,AFRICA SUB SAHARAN,1801,573,30.5,1510000
Liberia,AFRICA SUB SAHARAN,1801,797,31.1,314000
Lesotho,AFRICA SUB SAHARAN,1801,351,32.8,276000
Kenya,AFRICA SUB SAHARAN,1801,856,25.5,2590000
Guinea-Bissau,AFRICA SUB SAHARAN,1801,567,32,218000
Guinea,AFRICA SUB SAHARAN,1801,450,29.5,984000
Ghana,AFRICA SUB SAHARAN,1801,696,28,2020000
Gambia,AFRICA SUB SAHARAN,1801,813,28.8,103000
Gabon,AFRICA SUB SAHARAN,1801,390,30.6,158000
Ethiopia,AFRICA SUB SAHARAN,1801,523,29.7,12000000
Eritrea,AFRICA SUB SAHARAN,1801,532,30.2,205000
Equatorial Guinea,AFRICA SUB SAHARAN,1801,356,29.8,80400
Cote d'Ivoire,AFRICA SUB SAHARAN,1801,816,31.2,1090000
"Congo, Rep.",AFRICA SUB SAHARAN,1801,576,32.7,314000
"Congo, Dem. Rep.",AFRICA SUB SAHARAN,1801,487,31.6,5160000
Comoros,AFRICA SUB SAHARAN,1801,697,32.1,56300
Chad,AFRICA SUB SAHARAN,1801,418,30.9,1440000
Central African Republic,AFRICA SUB SAHARAN,1801,424,30,479000
Cape Verde,AFRICA SUB SAHARAN,1801,529,33.8,55700
Cameroon,AFRICA SUB SAHARAN,1801,626,28.8,1860000
Burundi,AFRICA SUB SAHARAN,1801,418,31.5,899000
Burkina Faso,AFRICA SUB SAHARAN,1801,480,29.2,1670000
Botswana,AFRICA SUB SAHARAN,1801,397,33.6,121000
Benin,AFRICA SUB SAHARAN,1801,597,31,637000
Angola,AFRICA SUB SAHARAN,1801,620,27,1570000
Tunisia,AFRICA NORTH,1801,715,28.8,804000
Morocco,AFRICA NORTH,1801,714,33.1,2510000
Libya,AFRICA NORTH,1801,1050,33.1,230000
Egypt,AFRICA NORTH,1801,1600,33,3530000
Djibouti,AFRICA NORTH,1801,754,29.9,22800
Algeria,AFRICA NORTH,1801,716,28.8,2510000
North Macedonia,,1801,690,36.1,392000
Eswatini,,1801,490,32.3,85600
United Kingdom,EUROPE WEST,1802,3300,38.6,11000000
Switzerland,EUROPE WEST,1802,2700,38,1770000
Sweden,EUROPE WEST,1802,1500,40.2,2480000
Spain,EUROPE WEST,1802,1620,29.5,11600000
Portugal,EUROPE WEST,1802,1830,35.6,2800000
Poland,EUROPE WEST,1802,1050,35.9,9130000
Norway,EUROPE WEST,1802,2540,38.4,897000
Netherlands,EUROPE WEST,1802,3330,39.9,2010000
Malta,EUROPE WEST,1802,782,28.7,134000
Luxembourg,EUROPE WEST,1802,1450,36.9,127000
Italy,EUROPE WEST,1802,2830,29.7,19100000
Ireland,EUROPE WEST,1802,1480,38.3,5410000
Iceland,EUROPE WEST,1802,927,27.6,61400
Greece,EUROPE WEST,1802,1380,36.6,2260000
Germany,EUROPE WEST,1802,2020,38.4,18600000
France,EUROPE WEST,1802,1850,34.4,29200000
Denmark,EUROPE WEST,1802,2020,44.4,1010000
Cyprus,EUROPE WEST,1802,854,38.5,184000
Belgium,EUROPE WEST,1802,2390,40,3270000
Austria,EUROPE WEST,1802,1860,34.4,3040000
Andorra,EUROPE WEST,1802,1200,,2650
Ukraine,EUROPE EAST,1802,765,36.6,11200000
Turkey,EUROPE EAST,1802,1190,35,9790000
Slovenia,EUROPE EAST,1802,1410,36.6,470000
Slovak Republic,EUROPE EAST,1802,1430,36.4,2140000
Serbia,EUROPE EAST,1802,1360,35.5,2150000
Russia,EUROPE EAST,1802,1430,29.6,31300000
Romania,EUROPE EAST,1802,377,35.7,5580000
Montenegro,EUROPE EAST,1802,1060,35.4,127000
Moldova,EUROPE EAST,1802,621,33.1,713000
Lithuania,EUROPE EAST,1802,1270,28.9,779000
Latvia,EUROPE EAST,1802,753,33,591000
Hungary,EUROPE EAST,1802,1250,36,3330000
Georgia,EUROPE EAST,1802,543,31.9,1070000
Finland,EUROPE EAST,1802,1240,39.2,831000
Estonia,EUROPE EAST,1802,940,35.3,334000
Czech Republic,EUROPE EAST,1802,1920,35,5520000
Croatia,EUROPE EAST,1802,1100,36.1,1230000
Bulgaria,EUROPE EAST,1802,1090,35.9,2240000
Bosnia and Herzegovina,EUROPE EAST,1802,669,35.1,852000
Belarus,EUROPE EAST,1802,608,36.2,2360000
Azerbaijan,EUROPE EAST,1802,775,29.2,880000
Armenia,EUROPE EAST,1802,514,34,413000
Albania,EUROPE EAST,1802,667,35.4,404000
Vietnam,EAST ASIA PACIFIC,1802,778,32,4200000
Vanuatu,EAST ASIA PACIFIC,1802,586,24.3,27800
Tonga,EAST ASIA PACIFIC,1802,663,28.2,18700
Timor-Leste,EAST ASIA PACIFIC,1802,523,28.9,137000
Thailand,EAST ASIA PACIFIC,1802,795,30.4,3140000
South Korea,EAST ASIA PACIFIC,1802,462,25.8,9400000
Solomon Islands,EAST ASIA PACIFIC,1802,363,25.1,57000
Singapore,EAST ASIA PACIFIC,1802,1020,29.1,30000
Samoa,EAST ASIA PACIFIC,1802,1400,25.4,47300
Philippines,EAST ASIA PACIFIC,1802,1090,30.9,2370000
Papua New Guinea,EAST ASIA PACIFIC,1802,546,31.5,755000
North Korea,EAST ASIA PACIFIC,1802,249,26,4350000
New Zealand,EAST ASIA PACIFIC,1802,658,34,187000
Myanmar,EAST ASIA PACIFIC,1802,594,30.8,5690000
Mongolia,EAST ASIA PACIFIC,1802,592,31.8,602000
"Micronesia, Fed. Sts.",EAST ASIA PACIFIC,1802,518,26.7,16400
Marshall Islands,EAST ASIA PACIFIC,1802,540,,5830
Malaysia,EAST ASIA PACIFIC,1802,1120,30.6,287000
Lao,EAST ASIA PACIFIC,1802,865,31.9,470000
Kiribati,EAST ASIA PACIFIC,1802,552,24.9,17900
Japan,EAST ASIA PACIFIC,1802,1010,36.4,28300000
Indonesia,EAST ASIA PACIFIC,1802,983,30,16200000
Fiji,EAST ASIA PACIFIC,1802,785,26.1,131000
China,EAST ASIA PACIFIC,1802,733,32,333000000
Cambodia,EAST ASIA PACIFIC,1802,385,35,2090000
Brunei,EAST ASIA PACIFIC,1802,1510,29.2,2260
Australia,EAST ASIA PACIFIC,1802,826,34,211000
Yemen,ASIA WEST,1802,882,23.4,2590000
Uzbekistan,ASIA WEST,1802,502,26.9,1920000
United Arab Emirates,ASIA WEST,1802,1010,30.7,40200
Turkmenistan,ASIA WEST,1802,945,24,367000
Tajikistan,ASIA WEST,1802,557,24.2,467000
Syria,ASIA WEST,1802,503,31.1,1260000
Sri Lanka,ASIA WEST,1802,799,32.6,1690000
Saudi Arabia,ASIA WEST,1802,2370,32.1,2010000
Qatar,ASIA WEST,1802,1110,30.8,14100
Palestine,ASIA WEST,1802,675,32.1,166000
Pakistan,ASIA WEST,1802,1020,25.8,13200000
Oman,ASIA WEST,1802,916,32.3,302000
Nepal,ASIA WEST,1802,621,32.8,3990000
Maldives,ASIA WEST,1802,843,32.6,42400
Lebanon,ASIA WEST,1802,2150,29.7,303000
Kyrgyz Republic,ASIA WEST,1802,508,23.9,530000
Kuwait,ASIA WEST,1802,1110,26,81300
Kazakhstan,ASIA WEST,1802,1140,26.2,2040000
Jordan,ASIA WEST,1802,1130,31.7,202000
Israel,ASIA WEST,1802,880,32,210000
Iraq,ASIA WEST,1802,3840,31.2,1010000
Iran,ASIA WEST,1802,1530,25.6,6050000
India,ASIA WEST,1802,858,25,202000000
Bhutan,ASIA WEST,1802,630,28.8,392000
Bangladesh,ASIA WEST,1802,876,25.5,19300000
Bahrain,ASIA WEST,1802,1250,30.3,64500
Afghanistan,ASIA WEST,1802,603,28.2,3280000
Venezuela,AMERICA SOUTH,1802,1200,32.2,957000
Uruguay,AMERICA SOUTH,1802,1820,32.9,55000
Suriname,AMERICA SOUTH,1802,1640,32.9,80700
Peru,AMERICA SOUTH,1802,1060,35.7,1280000
Paraguay,AMERICA SOUTH,1802,835,35.5,279000
